"frequency_Hz","Z_real","Z_imag"
1,6324.263486984,-277.216987039491
1.15688752831628,6061.71239688869,-269.783954051988
1.33838875317376,6032.81292956957,-54.6746095361341
1.5483652565855,6586.49856775828,-418.274656825288
1.791284454622,6128.57378904893,-342.823701052962
2.07231464521903,6210.37991987195,-135.18469793912
2.39743496780108,6243.25530896186,-440.35711465811
2.77356261419841,6092.98473165369,-661.738646499701
3.20869999737045,6200.61041628461,-651.535268231432
3.71210500906636,6161.28338288249,-596.53366163008
4.29448798878927,6061.62206274162,-801.158139751009
4.96823959473439,6059.23566212521,-935.903842226657
5.74769442483535,5998.68934625757,-1035.48071255614
6.64943599666505,6196.88552504137,-1123.98927639016
7.69264957487914,5768.224003962,-1099.32126917042
8.89953035288523,5621.12058416281,-1471.49319471692
10.2957556731251,5620.85598830197,-1515.68073851498
11.9110313328301,5483.33792466305,-1757.72095800917
13.7797235983356,5289.27767809555,-2031.1970019236
15.94159037456,4941.2942615738,-2364.92688734063
18.4426270858553,4588.86878774199,-2411.82948276847
21.3360452650141,4499.45823036274,-2533.64143549254
24.6834046706865,3981.59376984633,-2564.2318516284
28.5559230199011,3563.4456282464,-2485.70528328466
33.0359912012834,3245.95339632535,-2390.32696974657
38.2189262063312,2889.38336291221,-2389.79941047389
44.2149990737449,2648.74217483573,-2400.9358161345
51.1517809929315,2279.09288581618,-2353.16706413154
59.1768574818882,2061.38033537301,-2091.38120427152
68.4609683857466,1777.55820108797,-1882.02184557764
79.2016405019255,1638.67436057723,-1664.04277886506
91.6273901188674,1474.33493242059,-1486.64735657982
106.002584880688,1380.91393642308,-1336.52377232155
122.633068417756,1258.77886131901,-1262.23295593935
141.87266741166,1180.3117001462,-1050.71849736093
164.130719537513,1231.19560666413,-973.764021141397
189.880782446526,1146.92338111366,-852.967130027045
219.670709079324,1064.02814010212,-768.753611379333
254.134303670264,1055.78122892249,-686.831056327488
294.004806433471,1020.18632741373,-637.376609504305
340.130493827925,1081.73230910375,-629.897228208525
393.492726309585,1040.86040332512,-536.777635222861
455.226827550731,985.173421059055,-518.570027087718
526.646239348428,981.680476527567,-515.499635100526
609.270466136868,936.459122465067,-497.337824390125
704.85740364519,906.659561277783,-493.594049342725
815.440739518517,866.595909695314,-493.101279808511
943.373221629978,830.910905142396,-469.292058683058
1091.37671465127,827.480535022792,-509.960185799015
1262.60010987486,743.280069820063,-505.281110769192
1460.68632036499,689.522276207878,-486.766189595016
1689.84978681246,631.78654937892,-482.428750570138
1954.96614309126,586.16976533756,-468.107481267197
2261.67594922286,502.467749897554,-472.266703039386
2616.50469874882,442.969800533525,-412.149737943983
3027.00165376346,426.369397593731,-405.306218042933
3501.90046143171,360.612499284108,-352.460046732401
4051.30496923538,323.200342714816,-349.418737764186
4686.90419231419,290.632026453113,-301.61201558983
5422.22100650159,268.083458223385,-258.680851561316
6272.89985819625,255.678077734469,-242.084778521394
7257.03961232422,249.427515375081,-213.194756402393
8395.57861999512,241.030119198215,-187.964917975048
9712.74019847118,229.916549735725,-164.993993834833
11236.5480013875,217.69723163496,-140.859276952055
12999.4222441325,215.016422809931,-118.818941535228
15038.8694695541,207.730824783685,-114.03062952838
17398.2805293037,205.025729443254,-89.6807830959183
20127.8537584994,210.109381067054,-73.0747255731034
23285.662984982,200.265080615467,-59.2117178499517
26938.8930959018,211.759007206705,-53.3418983221597
31165.2694492943,202.222370739162,-47.7601852423477
36054.7115425051,202.830849424685,-51.1862568445117
41711.2461205652,198.425030255403,-40.561825322181
48255.2204274128,198.745546488022,-34.3772063659172
55825.862688627,195.46957597689,-25.6299112841909
64584.2443019699,199.867399632926,-25.0536994061701
74716.7067586808,202.142665828725,-26.3648849441205
86438.8262059828,201.643766297946,-11.6279908312231
1e+05,197.113256467551,-12.249376413745
